00000,33708d590f4549170125524fcbd6bc189fa8711fba52f8ead4276ca4,yes
1VICA,39543229fb6734b60f7ce76886eedee4dd17bbcb49e180ffe1200ee5,yes
8SQRD,6333007fadda8a9e086c2c426a02197f02e3abb4f17e22bf51341231,yes
A4G,cb87bf12be816ecd5cd6e167442670e4024d85e0005c8623651b371f,yes
ABC,478bc2098b2ef7117a4dc1a618ea75ca37516be7c6a65fab763f72a2,yes
ACOL,1d1a0727f1cae44f801091fe2b80d5589f3ffed24c602a8df7cdb2a3,yes
ADACO,dcb37c1940e79633705c4348ee31a4040e231ec1baa24d63d7b9b451,yes
ADAGO,c73186434c6fc6676bd67304d34518fc6fd7d5eaddaf78641b1e7dcf,yes
ADAR,f0e3c8d48efb750cdf256b68babc880787bc688972acfbbee1ffc537,yes
ADAXP,f2d23cc3549ab3fe4c78dd9115aab0a9e47dde96b7c4346822c72aa3,yes
ADI,0a423fa44f23b13cba59474427d11746136672af66b2d80b4499dd1d,yes
ANQA,6749c8ed350238d3673f2389491a46e8a9a260837c5630d775078aaa,yes
APEX,538299a358e79a289c8de779f8cd09dd6a6bb286de717d1f744bb357,yes
ARARE,f65731aa68706607718d140426c75cd7ac2c40703c31c325fdd46f91,yes
ARM1,a2ccd8e93f5a518d4400790cb081673e79ed41e4bf1132f740f26a28,yes
ATDT,ae7015d54c634f922f800d9800529c3c5a007148ab9d792ac4ff33ae,yes
ATMR,a987503fcad2a35e55bf2dabaeed9542abdbee4a9735552441894396,yes
AVOC,5df46b9796868647647f6d3a4ebd188920e70cd12720513337203b62,yes
BEAR,d75510f36a80dd436ed69b1c76af0724c1969a2ece377ee322ae2e36,yes
BFADA,4f345190f6280c907325bcd11f9b00f222f092c889f6bedfb739abb1,yes
BHMT,052f4ae6c6f39c00a45e390ed0849fd719e1848c60cf3ba6b985635e,yes
BIO,603749d1b47c79cdf3072c284abb9810dd98afe827d6ae2b92f115ed,yes
BLOCK,c63dab6d780a74cbae2a27696c9723f55b3092b2bd001256df03827f,yes
BN1AU,acc4bd79e795648e5134ec8c80bc2d486aa9007de6e87a348a1f98ba,yes
BSP,89eba2781e5cd11ccda6be56503702a39e9941e522f04cd5bba22957,yes
BUFFY,000022b3f0b748a43239c5024c58f852c05593cd0a77a798f0bb3a14,yes
CDNC,22531954c0bef931e312836efe14061ba1e33417ea246a7c165dbee9,yes
CHRTY,00333b89543da962cc92e7ffa45848f42a98f7276780670728ce5256,yes
DAD,dad893073815ca8b225554a2fc5048e366bd65938551323fc13cf7f5,yes
DCT,a5b9e7d6d3cec51a20e0eb0527acd590fe5af81028b1a5bd89fdff2d,yes
DEAD,59d12b7a426724961607014aacea1e584f3ebc1196948f42a10893bc,yes
DEEP,8e8af8edf6ea15ddfd1d5103811dd34f9b4a28082517a6094107c5c0,yes
DEGAS,4159a9cc7339bd2c495ad83239c2f1b97c8d2097eed6b120e08948c9,yes
DIGI,1b268f4cba3faa7e36d8a0cc4adca2096fb856119412ee7330f692b5,no
DOC,9084ebeb011e610e695068a74fa883dac5eda55faca77107b5f40064,yes
ECO,72de14d78a359617a7dd0b33c5554ed4edbafd768ece87c4bf672ee0,yes
ELITE,03ba735795ea8294bccd63efd305168ac8367e9d6fd5f0a6225e12b0,no
EQL,6d58efe7a29e73d15386017e17ef4d49a377be5df69a2ee0e3a9c10d,yes
ESP,6f365275ed3b789fc7bf4d4d0b769dc70117542aee93ca328f94ee53,yes
FRNTR,ad9a5fae28836eca9e4575588c712e7accd608b1519d72b7a1b058ac,yes
FRUIT,afc65ca69d52a68a1b1c50ee1b5b07d72890aaa3a2272d5d9391b706,yes
GMBL,dddce8834df02109524aeb5afa0fd820fc29920eca91a63551ecc26a,yes
GOSLO,50ec1c61547baef8efd5fb3a0bce4759cbcdf72a62948022834d7cf2,yes
