NO	TICKER	WEBSITE	TWITTER	SPO Group in adapools.org?	POOL ID
174	HAMDA	https://hamster-stake-pool.de	@HAMDAStakePool	yes	bb32c21c1ca7dc8f73fad1b6263987139a868fad820b3c3069fefcd6
175	WELL	blockswell.com	@blocksWELLpool	yes	188d429c9e1b559b3ed53529ec4cc948d72e4a8f2e5849523bb789d9
176	CCOL	https://cardanocolombia.com.co/es_es/	@CardanoCol	yes	ddf686213f0a98f6515a7a700652e229ce222174158f5f82b43457bc
177	HUG	https://adastaking.co.uk	@HUG_Pool	yes	2f5de17f4aef94923d82520eb9787d3081772bdea1264d919dcf48cb
178	CDAN	https://cdanstakepool.com	@AdaCdan	yes	95d5d55c02d51cd6e9be66ee622d4ae75fb543fc4022a510510620c8
179	SQUID	https://squidpool.com	@squid_pool	yes	cb11e3e5013a120ee55e8d99bdb7395366bd3164d3da1737300a2b7e
180	IDIV	https://www.divpools.com/	@divpoolsDP	yes	206292eab4479f3c24724baa877bc80cd27783c6089dfc64a7f22a7b
181	TOAD	https://toadpool.org	@ToadAuthority	yes	288bdc78a8a9ed9b214645cd1ea65a00690b0cbd1d0af73efcbe0f33
182	PRIDE	https://twitter.com/StakeWithPride	@stakewithpride	yes	93ca5c2f1eb63054f7c768a807408a43e65d7c68fe56e330db20af51
183	GUI	https://www.goowee.io/gui-stake-pool/	@icstrouse	yes 	fb82466458cb60c5295b8d335c24c83d85d510e0e012b877bcadbe98
184	VROOM	https://twitter.com/CarPoolCrypto	@CarPoolCrypto	yes	138031b823a08dec4535e583ca8ea91530abd9c62b1c0b768fd1f834
185	MYLO	https://mylo.farm	@MyloPool	yes	90e719ff625d4652a6f41568f9cdc0c8ddf90a7556929b4d30298e8c
186	BOOST	https://dbooster.io	@AdaBooster	yes	6b5179aee4db62de5bec35029e4c9b02145366acfec872f1594924db
187	PIXEL	https://pixelpool.io	@jack7e	yes	4f3410f074e7363091a1cc1c21b128ae423d1cce897bd19478e534bb
188	ADATH	https://www.ada-thailand.com	@ADAThPool	yes	8952900d84070b044336b443c2afd2318fe53b54a3219879b5056063
189	STUPD	https://www.stupidcotton.com/stake-pool	@stupid_cotton	yes	5e1c0f2519b2ea005de5c418568a3323d7a2dddb2dc1e6a39d88cd02
190	PSB	psilobyte.io	@877PSBYTE6	yes	f2fa0dfea7f4caba8cbdd042c4940c783ee57f9516062725b04e19a3
191	CBS	ClearBlox.io	@clearbox	yes	8b3e3d8afb3d646cbf49dcaf0a00ce14c7f09b4d18602494dee592e8
192	SOLIA	https://solia.inmanencia.org	@poolsolia	yes	eeb180952144eaf1aa5ff27a19322a5560e027ca1510bae10ec2e76a
193	PBD	https://www.palebluedotpool.org	@palebluedotpool	yes	5283b9e53fff62fa8578f428e816a7e28e2ee6cf3db57b453b71c68b
194	DIVY	https://discovery-pool.com/	@Jay_N_T	yes	654d96593e499e70889eeae16a15ad8682f8349fd1b77726bbbf8a6d
195	K9K	https://www.k9kstaking.com	@K9kStaking	yes	6cabf3837d2884000af0eb9b661870f0080233cfb4e9a239a007450c
x	CARN	x	x	yes	df0d1b70945b0c4d6560ee64837ca54e025eabbe710e256f6836273e
x	MOON1	x	x	yes	8253f8a94044070ddb196884eb3e912e9b6dca9a0e3210325a09a335
x	SWELL	x	x	yes	7ff2b54f311b6774e82cbf780c413e49e37b7501afd30f154918f7ca
x	CONGE	x	x	yes	49b7d9e2116ef05fbe1ee784391e31aecb360bbba2e979f389ae3d89
x	CONGE	x	x	yes	6e75544df8deb82f46153b20f5d71766deaca701089c939784566532
x	TOFU	x	x	yes	4dd940ac98c8bc3f7c3b314125c6078a7e1ca0467f6649f275a0ff7e
x	DECI	x	x	yes	e1ae99532bbe499351d123769bb5d49a20a4607f067b0919d7a1ece7
x	XSP	x	x	yes	788898a81174665316af96880459dcca053f7825abb1b0db9a433630
x	XSP2	x	x	yes	aa65bf8422f6b5af3a1197e9fe6649539025f2e18257cfb2f1e631aa
x	FALCO	x	x	yes	50de79c63d672319e20be59c620eb57ed1de8b7cc7fa489d8f22e353
x	HOLA	x	x	yes	ce9f192835046ba71ed302d5d3e0ba99d65fd3950346cadad4781814
x	MNM	x	x	yes	a932273ab880015990a677eb4cc598b306df0ece54aa98d1eefab600
x	OYAJI	x	x	yes	1f7f6c5b7c0aa91b78b7e86b8bdb95a3c0485f22bd61d848177fd66e
